Language Task Size Select_size Model Metric Value
cho surSeg 1000 75 transformer recall 0.10375000000000001
cho surSeg 1000 75 transformer f1 0.10516666666666667
cho surSeg 1000 100 transformer precision 0.10581666666666667
cho surSeg 1000 100 transformer recall 0.1004
cho surSeg 1000 100 transformer f1 0.09945000000000001
cho surSeg 1000 125 transformer precision 0.1068
cho surSeg 1000 125 transformer recall 0.09791666666666667
cho surSeg 1000 125 transformer f1 0.0991
cho surSeg 1000 150 transformer precision 0.10803333333333334
cho surSeg 1000 150 transformer recall 0.09511666666666667
cho surSeg 1000 150 transformer f1 0.09818333333333334
cho surSeg 1000 175 transformer precision 0.10830000000000001
cho surSeg 1000 175 transformer recall 0.09943333333333333
cho surSeg 1000 175 transformer f1 0.10043333333333333
cho surSeg 1000 200 transformer precision 0.09515
cho surSeg 1000 200 transformer recall 0.08943333333333334
cho surSeg 1000 200 transformer f1 0.08941666666666667
cho surSeg 1000 225 transformer precision 0.1175
cho surSeg 1000 225 transformer recall 0.09875
cho surSeg 1000 225 transformer f1 0.10518333333333334
cho surSeg 1000 250 transformer precision 0.10305
cho surSeg 1000 250 transformer recall 0.09721666666666666
cho surSeg 1000 250 transformer f1 0.09678333333333333
cho surSeg 1000 275 transformer precision 0.11555
cho surSeg 1000 275 transformer recall 0.10345
cho surSeg 1000 275 transformer f1 0.10568333333333334
cho surSeg 1000 300 transformer precision 0.12081666666666667
cho surSeg 1000 300 transformer recall 0.11053333333333333
cho surSeg 1000 300 transformer f1 0.11205
cho surSeg 1000 325 transformer precision 0.11748333333333333
cho surSeg 1000 325 transformer recall 0.10968333333333334
cho surSeg 1000 325 transformer f1 0.11031666666666667
cho surSeg 1000 350 transformer precision 0.11945
cho surSeg 1000 350 transformer recall 0.11043333333333334
cho surSeg 1000 350 transformer f1 0.11208333333333334
cho surSeg 1000 375 transformer precision 0.10638333333333333
cho surSeg 1000 375 transformer recall 0.10011666666666667
cho surSeg 1000 375 transformer f1 0.09988333333333334
cho surSeg 1000 400 transformer precision 0.11971666666666667
